role,permission
admin,song:read:any
admin,song:edit:any
admin,song:delete:any
user,playlist:read:own
admin,playlist:read:own
user,playlist:edit:own
admin,playlist:edit:own
user,playlist:create:own
admin,playlist:create:own
user,playlist:read:own
admin,playlist:read:own
admin,playlist:read:any
user,playlist:read:any
admin,playlist:create:any
admin,playlist:edit:any
admin,playlist:create:any
admin,user:create:any
admin,user:read:any
admin,user:delete:any
admin,user:edit:any
admin,user:create:own
admin,user:read:own
admin,user:delete:own
admin,user:edit:own
user,user:create:own
user,user:read:own
user,user:delete:own
user,user:edit:own
admin,song:read:any
admin,song:edit:any
admin,song:delete:any
admin,song:edit:any